condition,n_targets,observed_total_input_tokens,observed_total_output_tokens,observed_total_tokens,observed_total_llm_calls,observed_total_wall_seconds,observed_total_wall_hours,observed_mean_runtime_minutes,observed_median_runtime_minutes,observed_median_max_turn_tokens,observed_max_turn_tokens,expected_total_input_tokens,expected_total_output_tokens,expected_total_tokens,expected_total_llm_calls,expected_total_wall_hours,expected_mean_runtime_minutes,expected_median_runtime_minutes,expected_median_max_turn_tokens,expected_max_turn_tokens,verification_status,notes
no_memory,95,,,,,,,,,,,149116755,4677579,153794334,4416,45.2,28.5,13.3,39370,98304,unverified_missing_artifacts,Full run token/runtime artifacts were unavailable locally. Known max per-turn token targets around 98K exceed the nominal 65K context label; cause cannot be determined without OpenHands/provider accounting artifacts.
raw,95,,,,,,,,,,,154667541,3310983,157978524,3079,34.86,22.0,12.4,48160,98307,unverified_missing_artifacts,Full run token/runtime artifacts were unavailable locally. Known max per-turn token targets around 98K exceed the nominal 65K context label; cause cannot be determined without OpenHands/provider accounting artifacts.
adp,95,,,,,,,,,,,177160048,4886695,182046743,2880,45.29,28.6,14.1,51035,98306,unverified_missing_artifacts,Full run token/runtime artifacts were unavailable locally. Known max per-turn token targets around 98K exceed the nominal 65K context label; cause cannot be determined without OpenHands/provider accounting artifacts.
memory,95,,,,,,,,,,,147791422,3843866,151635288,2780,41.17,26.0,11.3,45419,98305,unverified_missing_artifacts,Full run token/runtime artifacts were unavailable locally. Known max per-turn token targets around 98K exceed the nominal 65K context label; cause cannot be determined without OpenHands/provider accounting artifacts.
