condition,n_targets,resolved_count,success_rate,wilson_95_low,wilson_95_high,non_empty_patch_count,empty_patch_count,patch_attempt_rate,eval_no_patch_count,eval_patch_failed_count,other_eval_error_count,mean_wall_seconds,median_wall_seconds,total_wall_seconds,mean_llm_calls,median_llm_calls,total_llm_calls,mean_input_tokens,median_input_tokens,total_input_tokens,mean_output_tokens,median_output_tokens,total_output_tokens,mean_total_tokens,median_total_tokens,total_total_tokens,median_max_turn_tokens,max_max_turn_tokens,mean_patch_bytes,median_patch_bytes,mean_patch_files_changed,median_patch_files_changed
no_memory,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adp,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memory,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
