bucket_type,bucket,condition,n_targets,resolved_count,success_rate,non_empty_patch_count,patch_attempt_rate,mean_runtime,mean_total_tokens
overlap_bucket,unknown_gold_overlap,no_memory,95,,,,,,
overlap_bucket,unknown_gold_overlap,raw,95,,,,,,
overlap_bucket,unknown_gold_overlap,adp,95,,,,,,
overlap_bucket,unknown_gold_overlap,memory,95,,,,,,
localization_bucket,unknown,no_memory,95,,,,,,
localization_bucket,unknown,raw,95,,,,,,
localization_bucket,unknown,adp,95,,,,,,
localization_bucket,unknown,memory,95,,,,,,
