condition,n_runs,runs_with_artifacts,mean_file_reads,median_file_reads,mean_file_writes,mean_file_edits,mean_files_read_unique,mean_files_edited_unique,top_first_file_read,top_first_file_edited
no_memory,95,0,,,,,,,,
raw,95,0,,,,,,,,
adp,95,0,,,,,,,,
memory,95,0,,,,,,,,
