condition_a,condition_b,n,a_resolved_count,b_resolved_count,a_rate,b_rate,rate_diff_a_minus_b,both_resolved,neither_resolved,a_only_resolved,b_only_resolved,mcnemar_exact_p,mcnemar_chi2_continuity_corrected,mcnemar_chi2_p,odds_ratio_discordant_a_over_b,paired_bootstrap_diff_95_low,paired_bootstrap_diff_95_high,paired_bootstrap_diff_mean,holm_adjusted_p_across_six_comparisons
raw,no_memory,94,19,10,0.20212765957446807,0.10638297872340426,0.09574468085106382,8,73,11,2,0.0224609375,4.923076923076923,0.026500280602491877,5.5,0.021276595744680854,0.1702127659574468,0.09574468085106383,0.134765625
memory,no_memory,94,16,10,0.1702127659574468,0.10638297872340426,0.06382978723404255,7,75,9,3,0.14599609375,2.0833333333333335,0.14891467317876567,3.0,-0.010638297872340413,0.1382978723404255,0.06382978723404256,0.72998046875
adp,no_memory,94,15,10,0.1595744680851064,0.10638297872340426,0.053191489361702135,7,76,8,3,0.2265625,1.4545454545454546,0.227799993988229,2.6666666666666665,-0.010638297872340441,0.1276595744680851,0.05319148936170212,0.90625
raw,memory,94,19,16,0.20212765957446807,0.1702127659574468,0.03191489361702127,10,69,9,6,0.60723876953125,0.26666666666666666,0.6055766163353464,1.5,-0.05319148936170212,0.10638297872340427,0.03191489361702127,1.0
raw,adp,94,19,15,0.20212765957446807,0.1595744680851064,0.04255319148936168,9,69,10,6,0.454498291015625,0.5625,0.4532547047537364,1.6666666666666667,-0.04255319148936168,0.1276595744680851,0.04255319148936171,1.0
memory,adp,94,16,15,0.1702127659574468,0.1595744680851064,0.010638297872340413,9,72,7,6,1.0,0.0,1.0,1.1666666666666667,-0.06382978723404256,0.0851063829787234,0.010638297872340413,1.0
