condition_a,condition_b,n,a_resolved_count,b_resolved_count,a_rate,b_rate,rate_diff_a_minus_b,both_resolved,neither_resolved,a_only_resolved,b_only_resolved,mcnemar_exact_p,mcnemar_chi2_continuity_corrected,mcnemar_chi2_p,odds_ratio_discordant_a_over_b,paired_bootstrap_diff_95_low,paired_bootstrap_diff_95_high,paired_bootstrap_diff_mean,holm_adjusted_p_across_six_comparisons
raw,no_memory,95,19,10,0.2,0.10526315789473684,0.09473684210526317,8,74,11,2,0.0224609375,4.923076923076923,0.026500280602491877,5.5,0.02105263157894738,0.16842105263157897,0.09473684210526316,0.134765625
memory,no_memory,95,16,10,0.16842105263157894,0.10526315789473684,0.06315789473684211,7,76,9,3,0.14599609375,2.0833333333333335,0.14891467317876567,3.0,0.0,0.13684210526315788,0.06315789473684211,0.72998046875
adp,no_memory,95,15,10,0.15789473684210525,0.10526315789473684,0.05263157894736842,7,77,8,3,0.2265625,1.4545454545454546,0.227799993988229,2.6666666666666665,-0.01052631578947369,0.1263157894736842,0.05263157894736842,0.90625
raw,memory,95,19,16,0.2,0.16842105263157894,0.03157894736842107,10,70,9,6,0.60723876953125,0.26666666666666666,0.6055766163353464,1.5,-0.052631578947368404,0.11578947368421053,0.03157894736842104,1.0
raw,adp,95,19,15,0.2,0.15789473684210525,0.04210526315789476,9,70,10,6,0.454498291015625,0.5625,0.4532547047537364,1.6666666666666667,-0.04210526315789473,0.12631578947368421,0.04210526315789473,1.0
memory,adp,95,16,15,0.16842105263157894,0.15789473684210525,0.01052631578947369,9,73,7,6,1.0,0.0,1.0,1.1666666666666667,-0.06315789473684211,0.08421052631578949,0.01052631578947369,1.0
