condition,n_runs,mean_file_reads,mean_file_edits,runs_with_edits,runs_with_patch_files
no_memory,95,0.0,0.0,0,62
raw,95,0.0,0.0,0,82
adp,95,0.0,0.0,0,81
memory,95,0.0,0.0,0,79
