condition,resolved_count,non_empty_patch_count,resolved_given_non_empty_patch_rate,empty_patch_count,unresolved_non_empty_patch_count
no_memory,10,62,0.16129032258064516,33,52
raw,19,82,0.23170731707317074,13,63
adp,15,81,0.18518518518518517,14,66
memory,16,79,0.20253164556962025,16,63
