condition,n_runs,mean_num_bash_commands,mean_num_grep_commands,mean_num_find_commands,mean_num_rg_commands,mean_num_pytest_commands,mean_num_test_commands,mean_num_git_diff_commands,mean_num_git_status_commands
no_memory,95,103.36842105263158,21.726315789473684,5.178947368421053,0.0,4.315789473684211,16.757894736842104,1.5368421052631578,0.042105263157894736
raw,95,80.41052631578947,13.347368421052632,2.294736842105263,0.0,4.610526315789474,16.221052631578946,1.768421052631579,0.0
adp,95,84.83157894736843,15.452631578947368,2.4842105263157896,0.0,4.273684210526316,17.91578947368421,1.7052631578947368,0.042105263157894736
memory,95,85.46315789473684,14.652631578947368,2.2736842105263158,0.0,4.442105263157894,15.673684210526316,1.5578947368421052,0.06315789473684211
