condition,n_targets,resolved_count,success_rate,wilson_95_low,wilson_95_high,non_empty_patch_count,empty_patch_count,patch_attempt_rate,eval_no_patch_count,eval_patch_failed_count,other_eval_error_count,mean_wall_seconds,median_wall_seconds,total_wall_seconds,mean_llm_calls,median_llm_calls,total_llm_calls,mean_input_tokens,median_input_tokens,total_input_tokens,mean_output_tokens,median_output_tokens,total_output_tokens,mean_total_tokens,median_total_tokens,total_total_tokens,median_max_turn_tokens,max_max_turn_tokens,mean_patch_bytes,median_patch_bytes,mean_patch_files_changed,median_patch_files_changed
no_memory,95,10,0.10526315789473684,0.058187897203921535,0.1830222815062572,62,33,0.6526315789473685,33,6,0,1712.6624210526315,800.724,162702.93,46.48421052631579,35.0,4416.0,1569650.0526315789,1231424.0,149116755.0,49237.673684210524,12770.0,4677579.0,1618887.7263157894,1243307.0,153794334.0,39370.0,98304.0,2967.157894736842,984.0,1.2421052631578948,1.0
raw,95,19,0.2,0.13194444444444448,0.2913752913752914,82,13,0.8631578947368421,13,7,0,1320.916252631579,746.747,125487.044,39.03157894736842,32.0,3708.0,1628079.3789473684,1432758.0,154667541.0,34852.45263157895,10490.0,3310983.0,1662931.8315789474,1443248.0,157978524.0,48160.0,98307.0,21601.894736842107,1867.0,1.694736842105263,2.0
adp,95,15,0.15789473684210525,0.09808429823947336,0.24429785664268155,81,14,0.8526315789473684,14,10,1,1716.4071999999999,843.302,163058.684,37.28421052631579,31.0,3542.0,1864842.6105263159,1450777.0,177160048.0,51438.89473684211,12638.0,4886695.0,1916281.505263158,1526980.0,182046743.0,51035.0,98306.0,4193.894736842105,1871.0,1.6,1.0
memory,95,16,0.16842105263157894,0.1064116433136824,0.2562049068028677,79,16,0.8315789473684211,16,4,0,1560.1409157894736,676.675,148213.387,40.61052631578947,29.0,3858.0,1555699.1789473684,1079151.0,147791422.0,40461.74736842105,10215.0,3843866.0,1596160.9263157896,1175278.0,151635288.0,45419.0,98305.0,5046.021052631579,1809.0,1.631578947368421,1.0
