bucket_type,bucket,condition,n_targets,resolved_count,success_rate,non_empty_patch_count,patch_attempt_rate,mean_runtime,mean_total_tokens
overlap_bucket,no_gold_file_overlap,no_memory,17,2,0.11764705882352941,9,0.5294117647058824,2329.2867647058824,2091046.1176470588
overlap_bucket,no_gold_file_overlap,raw,17,3,0.17647058823529413,15,0.8823529411764706,1969.8199411764706,1975176.294117647
overlap_bucket,no_gold_file_overlap,adp,17,2,0.11764705882352941,14,0.8235294117647058,2922.529,2611312.411764706
overlap_bucket,no_gold_file_overlap,memory,17,1,0.058823529411764705,15,0.8823529411764706,2397.401529411765,2625646.294117647
overlap_bucket,same_directory_only,no_memory,15,1,0.06666666666666667,9,0.6,703.8767333333334,990057.4666666667
overlap_bucket,same_directory_only,raw,15,3,0.2,14,0.9333333333333333,949.9318,1701336.6
overlap_bucket,same_directory_only,adp,15,1,0.06666666666666667,15,1.0,1095.168,2041012.8666666667
overlap_bucket,same_directory_only,memory,15,1,0.06666666666666667,12,0.8,749.3014000000001,1276837.3333333333
overlap_bucket,same_file_overlap,no_memory,63,7,0.1111111111111111,44,0.6984126984126984,1786.4587936507937,1641201.396825397
overlap_bucket,same_file_overlap,raw,63,13,0.20634920634920634,53,0.8412698412698413,1234.144888888889,1569531.396825397
overlap_bucket,same_file_overlap,adp,63,12,0.19047619047619047,52,0.8253968253968254,1538.8598571428572,1699035.5396825396
overlap_bucket,same_file_overlap,memory,63,14,0.2222222222222222,52,0.8253968253968254,1527.2704761904763,1394392.7142857143
localization_bucket,prior_trajectory_edited_target_gold_file,no_memory,38,3,0.07894736842105263,26,0.6842105263157895,2094.6953684210525,1667571.4473684211
localization_bucket,prior_trajectory_edited_target_gold_file,raw,38,6,0.15789473684210525,33,0.868421052631579,1146.4197368421053,1516165.0
localization_bucket,prior_trajectory_edited_target_gold_file,adp,38,5,0.13157894736842105,33,0.868421052631579,1750.4205789473683,1492648.9736842106
localization_bucket,prior_trajectory_edited_target_gold_file,memory,38,5,0.13157894736842105,33,0.868421052631579,1586.510605263158,1252453.3421052631
localization_bucket,prior_trajectory_inspected_target_gold_file,no_memory,33,4,0.12121212121212122,23,0.696969696969697,1322.3904545454545,1528624.121212121
localization_bucket,prior_trajectory_inspected_target_gold_file,raw,33,9,0.2727272727272727,27,0.8181818181818182,1242.308696969697,1707966.6363636365
localization_bucket,prior_trajectory_inspected_target_gold_file,adp,33,7,0.21212121212121213,27,0.8181818181818182,1146.1126060606061,2058352.878787879
localization_bucket,prior_trajectory_inspected_target_gold_file,memory,33,8,0.24242424242424243,26,0.7878787878787878,1166.5593333333334,1492396.7575757576
localization_bucket,prior_trajectory_never_touched_target_gold_area,no_memory,11,1,0.09090909090909091,5,0.45454545454545453,2545.793727272727,2374791.5454545454
localization_bucket,prior_trajectory_never_touched_target_gold_area,raw,11,1,0.09090909090909091,9,0.8181818181818182,2393.541818181818,2214794.3636363638
localization_bucket,prior_trajectory_never_touched_target_gold_area,adp,11,1,0.09090909090909091,9,0.8181818181818182,3641.2074545454543,2939987.909090909
localization_bucket,prior_trajectory_never_touched_target_gold_area,memory,11,0,0.0,9,0.8181818181818182,2755.978090909091,3055856.4545454546
localization_bucket,prior_trajectory_same_directory_as_target_gold,no_memory,13,2,0.15384615384615385,8,0.6153846153846154,881.6838461538462,1066101.2307692308
localization_bucket,prior_trajectory_same_directory_as_target_gold,raw,13,3,0.23076923076923078,13,1.0,1122.9189999999999,1510662.8461538462
localization_bucket,prior_trajectory_same_directory_as_target_gold,adp,13,2,0.15384615384615385,12,0.9230769230769231,1435.9772307692308,1927736.1538461538
localization_bucket,prior_trajectory_same_directory_as_target_gold,memory,13,3,0.23076923076923078,11,0.8461538461538461,1470.2897692307693,1629119.0
