condition_a,condition_b,n,a_resolved_count,b_resolved_count,a_rate,b_rate,rate_diff_a_minus_b,both_resolved,neither_resolved,a_only_resolved,b_only_resolved,mcnemar_exact_p,mcnemar_chi2_continuity_corrected,mcnemar_chi2_p,odds_ratio_discordant_a_over_b,paired_bootstrap_diff_95_low,paired_bootstrap_diff_95_high,paired_bootstrap_diff_mean,holm_adjusted_p_across_six_comparisons
raw,no_memory,95,82,62,0.8631578947368421,0.6526315789473685,0.21052631578947367,56,7,26,6,0.0005350527353584766,11.28125,0.0007829382178911192,4.333333333333333,0.10526315789473684,0.3157894736842106,0.21052631578947367,0.00321031641215086
memory,no_memory,95,79,62,0.8315789473684211,0.6526315789473685,0.17894736842105263,56,10,23,6,0.002315700054168701,8.827586206896552,0.002967105898647615,3.8333333333333335,0.0736842105263158,0.28421052631578947,0.17894736842105263,0.009262800216674805
adp,no_memory,95,81,62,0.8526315789473684,0.6526315789473685,0.19999999999999996,55,7,26,7,0.0013187271542847157,9.818181818181818,0.0017279507741690477,3.7142857142857144,0.09473684210526312,0.3157894736842105,0.19999999999999996,0.006593635771423578
raw,memory,95,82,79,0.8631578947368421,0.8315789473684211,0.03157894736842104,72,6,10,7,0.629058837890625,0.23529411764705882,0.6276258050283593,1.4285714285714286,-0.052631578947368474,0.11578947368421055,0.03157894736842104,1.0
raw,adp,95,82,81,0.8631578947368421,0.8526315789473684,0.010526315789473717,75,7,7,6,1.0,0.0,1.0,1.1666666666666667,-0.06315789473684208,0.08421052631578951,0.010526315789473717,1.0
memory,adp,95,79,81,0.8315789473684211,0.8526315789473684,-0.021052631578947323,71,6,8,10,0.8145294189453125,0.05555555555555555,0.8136637157667919,0.8,-0.10526315789473684,0.06315789473684219,-0.021052631578947323,1.0
